조건별분석,,,,
[검색조건],,,,
,분류: 지상,,,
"		108",서울,2014-04-28,91.6,78
"		108",서울,2014-04-29,69.5,53
"		108",서울,2014-04-30,62.1,47
"		108",서울,2014-05-01,60.5,36
"		108",서울,2014-05-02,70.9,34
"		108",서울,2014-05-03,54.6,34
"		108",서울,2014-05-04,57.8,28
"		108",서울,2014-05-05,56.5,28
"		108",서울,2014-05-06,45.9,18
"		108",서울,2014-05-07,48.3,22
"		108",서울,2014-05-08,83.9,49
"		108",서울,2014-05-09,60.8,26
"		108",서울,2014-05-10,43.4,20
"		108",서울,2014-05-11,54.4,30
"		108",서울,2014-05-12,79.1,50
"		108",서울,2014-05-13,69.9,43
"		108",서울,2014-05-14,59.1,32
"		108",서울,2014-05-15,66.9,38
"		108",서울,2014-05-16,50.3,24
"		108",서울,2014-05-17,48,29
"		108",서울,2014-05-18,50.1,29
"		108",서울,2014-05-19,55.1,33
"		108",서울,2014-05-20,45.4,23
"		108",서울,2014-05-21,65.3,40
"		108",서울,2014-05-22,63.4,31
"		108",서울,2014-05-23,68.4,47
"		108",서울,2014-05-24,68.8,41
"		108",서울,2014-05-25,78.9,46
"		108",서울,2014-05-26,67.4,30
"		108",서울,2014-05-27,49.5,33
"		108",서울,2014-05-28,60.8,43
"		108",서울,2014-05-29,54.6,24
"		108",서울,2014-05-30,42.5,25
"		108",서울,2014-05-31,50.3,32
"		108",서울,2014-06-01,58.1,38
"		108",서울,2014-06-02,73.5,53
"		108",서울,2014-06-03,95.3,66
"		108",서울,2014-06-04,61.5,49
"		108",서울,2014-06-05,58.8,50
"		108",서울,2014-06-06,58.9,32
"		108",서울,2014-06-07,65.1,49
"		108",서울,2014-06-08,75.3,63
"		108",서울,2014-06-09,70.8,43
"		108",서울,2014-06-10,72,43
"		108",서울,2014-06-11,87.1,47
"		108",서울,2014-06-12,73.9,46
"		108",서울,2014-06-13,79,57
"		108",서울,2014-06-14,71.6,49
"		108",서울,2014-06-15,69.9,42
"		108",서울,2014-06-16,66.4,38
"		108",서울,2014-06-17,71.8,43
"		108",서울,2014-06-18,71.3,47
"		108",서울,2014-06-19,79.3,61
"		108",서울,2014-06-20,76.5,48
"		108",서울,2014-06-21,80.9,51
"		108",서울,2014-06-22,74.4,52
"		108",서울,2014-06-23,91.4,74
"		108",서울,2014-06-24,74.6,50
"		108",서울,2014-06-25,74.1,50
"		108",서울,2014-06-26,68,46
"		108",서울,2014-06-27,74.8,47
"		108",서울,2014-06-28,71.6,44
"		108",서울,2014-06-29,70.3,46
"		108",서울,2014-06-30,68,48
"		108",서울,2014-07-01,67.8,44
"		108",서울,2014-07-02,77.3,50
"		108",서울,2014-07-03,85.5,72
"		108",서울,2014-07-04,62.1,36
"		108",서울,2014-07-05,70.4,56
"		108",서울,2014-07-06,65.8,44
"		108",서울,2014-07-07,61.4,27
"		108",서울,2014-07-08,73,60
"		108",서울,2014-07-09,78.3,58
"		108",서울,2014-07-10,57.9,30
"		108",서울,2014-07-11,63.4,30
"		108",서울,2014-07-12,74.3,53
"		108",서울,2014-07-13,73.4,50
"		108",서울,2014-07-14,70.8,48
"		108",서울,2014-07-15,69.4,41
"		108",서울,2014-07-16,68.4,42
"		108",서울,2014-07-17,75.9,53
"		108",서울,2014-07-18,80.5,57
"		108",서울,2014-07-19,79.8,59
"		108",서울,2014-07-20,75.8,51
"		108",서울,2014-07-21,73.9,52
"		108",서울,2014-07-22,83.9,69
"		108",서울,2014-07-23,90,63
"		108",서울,2014-07-24,92.8,70
"		108",서울,2014-07-25,81.9,51
"		108",서울,2014-07-26,86.1,66
"		108",서울,2014-07-27,75,45
"		108",서울,2014-07-28,71.6,40
"		108",서울,2014-07-29,68.4,47
"		108",서울,2014-07-30,70.6,51
"		108",서울,2014-07-31,75.9,53
"		108",서울,2014-08-01,63.4,40
"		108",서울,2014-08-02,55,46
"		108",서울,2014-08-03,87.6,55
"		108",서울,2014-08-04,93,74
"		108",서울,2014-08-05,87.5,71
"		108",서울,2014-08-06,92.4,76
"		108",서울,2014-08-07,91.1,75
"		108",서울,2014-08-08,62.3,46
"		108",서울,2014-08-09,48.4,32
"		108",서울,2014-08-10,79.4,55
"		108",서울,2014-08-11,78.4,54
"		108",서울,2014-08-12,77.8,53
"		108",서울,2014-08-13,75.3,58
"		108",서울,2014-08-14,78.6,69
"		108",서울,2014-08-15,72.9,55
"		108",서울,2014-08-16,73.9,50
"		108",서울,2014-08-17,81.1,72
"		108",서울,2014-08-18,90,73
"		108",서울,2014-08-19,96.6,76
"		108",서울,2014-08-20,86,64
"		108",서울,2014-08-21,96.5,80
"		108",서울,2014-08-22,83.4,62
"		108",서울,2014-08-23,79.5,52
"		108",서울,2014-08-24,75.5,47
"		108",서울,2014-08-25,71.8,61
"		108",서울,2014-08-26,71.4,53
"		108",서울,2014-08-27,66.8,53
"		108",서울,2014-08-28,65.3,41
"		108",서울,2014-08-29,71.9,48
"		108",서울,2014-08-30,71.6,37
"		108",서울,2014-08-31,68.6,46
"		108",서울,2014-09-01,72.5,49
"		108",서울,2014-09-02,73.6,52
"		108",서울,2014-09-03,99.8,92
"		108",서울,2014-09-04,79.4,52
"		108",서울,2014-09-05,76,45
"		108",서울,2014-09-06,66.9,39
"		108",서울,2014-09-07,72.1,43
"		108",서울,2014-09-08,75,42
"		108",서울,2014-09-09,66.5,36
"		108",서울,2014-09-10,60.6,33
"		108",서울,2014-09-11,61.1,40
"		108",서울,2014-09-12,74.9,51
"		108",서울,2014-09-13,60.9,39
"		108",서울,2014-09-14,60.6,39
"		108",서울,2014-09-15,64.9,35
"		108",서울,2014-09-16,43.8,28
"		108",서울,2014-09-17,52.3,38
"		108",서울,2014-09-18,56.5,32
"		108",서울,2014-09-19,55,26
"		108",서울,2014-09-20,52.5,22
"		108",서울,2014-09-21,61.6,39
"		108",서울,2014-09-22,57.5,31
"		108",서울,2014-09-23,52.1,28
"		108",서울,2014-09-24,77.9,51
"		108",서울,2014-09-25,66.9,40
"		108",서울,2014-09-26,78.1,60
"		108",서울,2014-09-27,79,57
"		108",서울,2014-09-28,85.5,63
"		108",서울,2014-09-29,99,94
"		108",서울,2014-09-30,72.5,51
"		108",서울,2014-10-01,68.6,50
"		108",서울,2014-10-02,89,76
"		108",서울,2014-10-03,74.3,50
"		108",서울,2014-10-04,62,39
"		108",서울,2014-10-05,53.1,33
"		108",서울,2014-10-06,57,34
"		108",서울,2014-10-07,64.8,31
"		108",서울,2014-10-08,61.5,30
"		108",서울,2014-10-09,60.4,32
"		108",서울,2014-10-10,63.3,45
"		108",서울,2014-10-11,57.4,37
"		108",서울,2014-10-12,48.5,22
"		108",서울,2014-10-13,51.9,40
"		108",서울,2014-10-14,51.8,32
"		108",서울,2014-10-15,60.4,33
"		108",서울,2014-10-16,53.8,19
"		108",서울,2014-10-17,53.8,30
"		108",서울,2014-10-18,68.9,44
"		108",서울,2014-10-19,61,32
"		108",서울,2014-10-20,97.8,59
"		108",서울,2014-10-21,92.8,83
"		108",서울,2014-10-22,69,50
"		108",서울,2014-10-23,67.8,42
"		108",서울,2014-10-24,78,52
"		108",서울,2014-10-25,81.1,49
"		108",서울,2014-10-26,76.9,42
"		108",서울,2014-10-27,35.3,19
"		108",서울,2014-10-28,43.4,15
"		108",서울,2014-10-29,46.4,19
"		108",서울,2014-10-30,45.8,20
"		108",서울,2014-10-31,62.1,41
"		108",서울,2014-11-01,63.4,46
"		108",서울,2014-11-02,50.5,25
"		108",서울,2014-11-03,40.9,28
"		108",서울,2014-11-04,60.5,34
"		108",서울,2014-11-05,65.6,43
"		108",서울,2014-11-06,61,37
"		108",서울,2014-11-07,52.5,32
"		108",서울,2014-11-08,61.9,46
"		108",서울,2014-11-09,46.3,26
"		108",서울,2014-11-10,49.9,18
"		108",서울,2014-11-11,67.4,47
"		108",서울,2014-11-12,50.6,25
"		108",서울,2014-11-13,38.5,29
"		108",서울,2014-11-14,54,30
"		108",서울,2014-11-15,38.3,23
"		108",서울,2014-11-16,42.6,22
"		108",서울,2014-11-17,75.5,51
"		108",서울,2014-11-18,53.4,29
"		108",서울,2014-11-19,55.4,29
"		108",서울,2014-11-20,61.9,37
"		108",서울,2014-11-21,62.5,44
"		108",서울,2014-11-22,90.9,77
"		108",서울,2014-11-23,80,53
"		108",서울,2014-11-24,59.8,33
"		108",서울,2014-11-25,56,42
"		108",서울,2014-11-26,58.8,40
"		108",서울,2014-11-27,69.9,55
"		108",서울,2014-11-28,88,66
"		108",서울,2014-11-29,83.9,62
"		108",서울,2014-11-30,88.1,74
"		108",서울,2014-12-01,58.8,42
"		108",서울,2014-12-02,42.3,21
"		108",서울,2014-12-03,70.6,44
"		108",서울,2014-12-04,43,22
"		108",서울,2014-12-05,45.5,31
"		108",서울,2014-12-06,47.5,28
"		108",서울,2014-12-07,43.9,33
"		108",서울,2014-12-08,48.4,25
"		108",서울,2014-12-09,44.1,26
"		108",서울,2014-12-10,58.8,39
"		108",서울,2014-12-11,64.8,45
"		108",서울,2014-12-12,70.4,36
"		108",서울,2014-12-13,45.8,31
"		108",서울,2014-12-14,60.5,32
"		108",서울,2014-12-15,90.6,74
"		108",서울,2014-12-16,58.9,40
"		108",서울,2014-12-17,41,33
"		108",서울,2014-12-18,39.9,23
"		108",서울,2014-12-19,54.5,42
"		108",서울,2014-12-20,66,34
"		108",서울,2014-12-21,58.5,33
"		108",서울,2014-12-22,64.6,51
"		108",서울,2014-12-23,67.1,55
"		108",서울,2014-12-24,66.8,40
"		108",서울,2014-12-25,52,32
"		108",서울,2014-12-26,45.6,27
"		108",서울,2014-12-27,46.8,28
"		108",서울,2014-12-28,64.1,50
"		108",서울,2014-12-29,73.1,60
"		108",서울,2014-12-30,62.8,31
"		108",서울,2014-12-31,47.4,30
"		108",서울,2015-01-01,41.4,29
"		108",서울,2015-01-02,45.9,28
"		108",서울,2015-01-03,56.1,35
"		108",서울,2015-01-04,70.1,54
"		108",서울,2015-01-05,73.1,51
"		108",서울,2015-01-06,52.4,27
"		108",서울,2015-01-07,33.1,23
"		108",서울,2015-01-08,45.8,25
"		108",서울,2015-01-09,58.3,37
"		108",서울,2015-01-10,56.5,32
"		108",서울,2015-01-11,57.8,37
"		108",서울,2015-01-12,37.8,23
"		108",서울,2015-01-13,39.6,22
"		108",서울,2015-01-14,41.1,29
"		108",서울,2015-01-15,53.6,33
"		108",서울,2015-01-16,73,55
"		108",서울,2015-01-17,46,28
"		108",서울,2015-01-18,68.4,41
"		108",서울,2015-01-19,68.1,51
"		108",서울,2015-01-20,55.8,33
"		108",서울,2015-01-21,58.3,42
"		108",서울,2015-01-22,60.6,47
"		108",서울,2015-01-23,66.4,46
"		108",서울,2015-01-24,62.9,46
"		108",서울,2015-01-25,78.4,53
"		108",서울,2015-01-26,87.5,64
"		108",서울,2015-01-27,55.4,35
"		108",서울,2015-01-28,49.3,32
"		108",서울,2015-01-29,56.4,46
"		108",서울,2015-01-30,51.8,31
"		108",서울,2015-01-31,46.4,31
"		108",서울,2015-02-01,44.9,23
"		108",서울,2015-02-02,47.3,24
"		108",서울,2015-02-03,54.5,27
"		108",서울,2015-02-04,64.5,25
"		108",서울,2015-02-05,57.1,38
"		108",서울,2015-02-06,57.3,33
"		108",서울,2015-02-07,65.3,42
"		108",서울,2015-02-08,34.1,23
"		108",서울,2015-02-09,54.6,25
"		108",서울,2015-02-10,69,51
"		108",서울,2015-02-11,60.3,21
"		108",서울,2015-02-12,36.8,17
"		108",서울,2015-02-13,46.4,24
"		108",서울,2015-02-14,72.9,58
"		108",서울,2015-02-15,61.6,38
"		108",서울,2015-02-16,91.9,54
"		108",서울,2015-02-17,78.5,59
"		108",서울,2015-02-18,72,59
"		108",서울,2015-02-19,67.1,35
"		108",서울,2015-02-20,55.3,31
"		108",서울,2015-02-21,79,47
"		108",서울,2015-02-22,78,52
"		108",서울,2015-02-23,60.4,34
"		108",서울,2015-02-24,60,35
"		108",서울,2015-02-25,48.6,22
"		108",서울,2015-02-26,56.9,30
"		108",서울,2015-02-27,35.6,22
"		108",서울,2015-02-28,40.5,29
"		108",서울,2015-03-01,56.8,41
"		108",서울,2015-03-02,43.5,23
"		108",서울,2015-03-03,69.5,24
"		108",서울,2015-03-04,43.4,29
"		108",서울,2015-03-05,41.1,20
"		108",서울,2015-03-06,37.8,15
"		108",서울,2015-03-07,45.5,21
"		108",서울,2015-03-08,42.5,20
"		108",서울,2015-03-09,43.4,21
"		108",서울,2015-03-10,30.6,19
"		108",서울,2015-03-11,45.1,24
"		108",서울,2015-03-12,41,23
"		108",서울,2015-03-13,45.4,15
"		108",서울,2015-03-14,31.4,17
"		108",서울,2015-03-15,42,15
"		108",서울,2015-03-16,44.4,19
"		108",서울,2015-03-17,51.9,30
"		108",서울,2015-03-18,61.5,42
"		108",서울,2015-03-19,50.9,26
"		108",서울,2015-03-20,32.5,10
"		108",서울,2015-03-21,31,19
"		108",서울,2015-03-22,33.3,9
"		108",서울,2015-03-23,24.3,13
"		108",서울,2015-03-24,32.8,11
"		108",서울,2015-03-25,45.9,17
"		108",서울,2015-03-26,47.5,24
"		108",서울,2015-03-27,50.5,21
"		108",서울,2015-03-28,35,12
"		108",서울,2015-03-29,61.9,30
"		108",서울,2015-03-30,57.4,20
"		108",서울,2015-03-31,80.6,63
"		108",서울,2015-04-01,67.9,40
"		108",서울,2015-04-02,70.5,42
"		108",서울,2015-04-03,83.4,60
"		108",서울,2015-04-04,48,31
"		108",서울,2015-04-05,75.1,55
"		108",서울,2015-04-06,55.8,32
"		108",서울,2015-04-07,59.5,47
"		108",서울,2015-04-08,52.5,32
"		108",서울,2015-04-09,43,27
"		108",서울,2015-04-10,40.5,19
"		108",서울,2015-04-11,39.3,17
"		108",서울,2015-04-12,30.6,17
"		108",서울,2015-04-13,53.9,32
"		108",서울,2015-04-14,89.9,83
"		108",서울,2015-04-15,72,45
"		108",서울,2015-04-16,69.5,55
"		108",서울,2015-04-17,45.4,21
"		108",서울,2015-04-18,31.9,11
"		108",서울,2015-04-19,74.8,24
"		108",서울,2015-04-20,75.3,46
"		108",서울,2015-04-21,46,14
"		108",서울,2015-04-22,47,25
"		108",서울,2015-04-23,41.1,16
"		108",서울,2015-04-24,38.3,15
"		108",서울,2015-04-25,31.3,13
"		108",서울,2015-04-26,37.6,17
"		108",서울,2015-04-27,39.3,19
"		108",서울,2015-04-28,38.6,16
"		108",서울,2015-04-29,77,63
"		108",서울,2015-04-30,56.6,33
"		108",서울,2015-05-01,58.8,41
"		108",서울,2015-05-02,64.4,39
"		108",서울,2015-05-03,90.4,82
"		108",서울,2015-05-04,45.9,13
"		108",서울,2015-05-05,37.9,16
"		108",서울,2015-05-06,36.3,16
"		108",서울,2015-05-07,35.6,15
"		108",서울,2015-05-08,64.3,43
"		108",서울,2015-05-09,55,33
"		108",서울,2015-05-10,39.6,16
"		108",서울,2015-05-11,62.1,33
"		108",서울,2015-05-12,75.9,49
"		108",서울,2015-05-13,56.9,44
"		108",서울,2015-05-14,63.8,44
"		108",서울,2015-05-15,71,46
"		108",서울,2015-05-16,41.3,16
"		108",서울,2015-05-17,40.4,12
"		108",서울,2015-05-18,53.9,30
"		108",서울,2015-05-19,88.9,82
"		108",서울,2015-05-20,60,32
"		108",서울,2015-05-21,50.1,23
"		108",서울,2015-05-22,45.3,23
"		108",서울,2015-05-23,38.5,16
"		108",서울,2015-05-24,37.3,16
"		108",서울,2015-05-25,53.1,26
"		108",서울,2015-05-26,48.9,17
"		108",서울,2015-05-27,32.9,13
"		108",서울,2015-05-28,27.1,15
"		108",서울,2015-05-29,36.8,22
"		108",서울,2015-05-30,71,50
"		108",서울,2015-05-31,52.8,18
"		108",서울,2015-06-01,44.6,22
"		108",서울,2015-06-02,46.9,25
"		108",서울,2015-06-03,33.3,13
"		108",서울,2015-06-04,28.9,15
"		108",서울,2015-06-05,58.8,27
"		108",서울,2015-06-06,50.4,29
"		108",서울,2015-06-07,46.8,24
"		108",서울,2015-06-08,54.9,33
"		108",서울,2015-06-09,66.3,37
"		108",서울,2015-06-10,54.3,19
"		108",서울,2015-06-11,59.6,25
"		108",서울,2015-06-12,63.1,32
"		108",서울,2015-06-13,61.9,42
"		108",서울,2015-06-14,70.3,44
"		108",서울,2015-06-15,65.6,37
"		108",서울,2015-06-16,65.9,43
"		108",서울,2015-06-17,72.8,38
"		108",서울,2015-06-18,59.4,32
"		108",서울,2015-06-19,57.8,39
"		108",서울,2015-06-20,91,73
"		108",서울,2015-06-21,69.1,35
"		108",서울,2015-06-22,60.4,43
"		108",서울,2015-06-23,64.1,38
"		108",서울,2015-06-24,58.3,39
"		108",서울,2015-06-25,65.1,45
"		108",서울,2015-06-26,75.8,51
"		108",서울,2015-06-27,55.3,34
"		108",서울,2015-06-28,61.8,41
"		108",서울,2015-06-29,61.8,42
"		108",서울,2015-06-30,70,45
"		108",서울,2015-07-01,66.3,38
"		108",서울,2015-07-02,64.5,28
"		108",서울,2015-07-03,62.6,32
"		108",서울,2015-07-04,55.8,29
"		108",서울,2015-07-05,57.4,38
"		108",서울,2015-07-06,54.3,30
"		108",서울,2015-07-07,52.1,34
"		108",서울,2015-07-08,69.8,47
"		108",서울,2015-07-09,61.3,43
"		108",서울,2015-07-10,60.9,39
"		108",서울,2015-07-11,60.3,40
"		108",서울,2015-07-12,94.1,71
"		108",서울,2015-07-13,90.8,76
"		108",서울,2015-07-14,72.4,47
"		108",서울,2015-07-15,58.8,35
"		108",서울,2015-07-16,51.3,38
"		108",서울,2015-07-17,49.8,37
"		108",서울,2015-07-18,63.5,44
"		108",서울,2015-07-19,77.4,51
"		108",서울,2015-07-20,71.4,54
"		108",서울,2015-07-21,81.6,67
"		108",서울,2015-07-22,76.9,60
"		108",서울,2015-07-23,81,55
"		108",서울,2015-07-24,96.9,90
"		108",서울,2015-07-25,95.1,83
"		108",서울,2015-07-26,85.5,62
"		108",서울,2015-07-27,86,65
"		108",서울,2015-07-28,74.4,52
"		108",서울,2015-07-29,82.9,72
"		108",서울,2015-07-30,76.4,54
"		108",서울,2015-07-31,74.3,51
"		108",서울,2015-08-01,72.8,59
"		108",서울,2015-08-02,84.3,58
"		108",서울,2015-08-03,71.5,60
"		108",서울,2015-08-04,73.3,62
"		108",서울,2015-08-05,67,45
"		108",서울,2015-08-06,64.5,42
"		108",서울,2015-08-07,71.3,45
"		108",서울,2015-08-08,79.1,49
"		108",서울,2015-08-09,74.4,49
"		108",서울,2015-08-10,72.1,45
"		108",서울,2015-08-11,73.6,47
"		108",서울,2015-08-12,67.5,35
"		108",서울,2015-08-13,68.6,40
"		108",서울,2015-08-14,66.4,38
"		108",서울,2015-08-15,70.4,50
"		108",서울,2015-08-16,74.9,51
"		108",서울,2015-08-17,61.5,35
"		108",서울,2015-08-18,59.9,33
"		108",서울,2015-08-19,70.3,54
"		108",서울,2015-08-20,75.5,58
"		108",서울,2015-08-21,78.3,53
"		108",서울,2015-08-22,69.8,43
"		108",서울,2015-08-23,65.5,40
"		108",서울,2015-08-24,60.6,48
"		108",서울,2015-08-25,76.4,57
"		108",서울,2015-08-26,68.4,50
"		108",서울,2015-08-27,61.1,29
"		108",서울,2015-08-28,69.4,46
"		108",서울,2015-08-29,65.8,32
"		108",서울,2015-08-30,65.9,35
"		108",서울,2015-08-31,62.9,37
"		108",서울,2015-09-01,59.4,41
"		108",서울,2015-09-02,72.8,58
"		108",서울,2015-09-03,75.1,48
"		108",서울,2015-09-04,68.5,36
"		108",서울,2015-09-05,79.8,72
"		108",서울,2015-09-06,60.4,47
"		108",서울,2015-09-07,52.9,34
"		108",서울,2015-09-08,43.6,22
"		108",서울,2015-09-09,42.9,28
"		108",서울,2015-09-10,62.3,41
"		108",서울,2015-09-11,76.4,56
"		108",서울,2015-09-12,60.4,29
"		108",서울,2015-09-13,54.1,27
"		108",서울,2015-09-14,61.1,36
"		108",서울,2015-09-15,48.5,27
"		108",서울,2015-09-16,45.5,31
"		108",서울,2015-09-17,46.4,28
"		108",서울,2015-09-18,52.1,31
"		108",서울,2015-09-19,58.3,30
"		108",서울,2015-09-20,69,39
"		108",서울,2015-09-21,62.1,28
"		108",서울,2015-09-22,48.4,25
"		108",서울,2015-09-23,57.9,42
"		108",서울,2015-09-24,56.4,28
"		108",서울,2015-09-25,56.5,34
"		108",서울,2015-09-26,54.5,28
"		108",서울,2015-09-27,39.4,15
"		108",서울,2015-09-28,39.6,20
"		108",서울,2015-09-29,36.6,21
"		108",서울,2015-09-30,45.3,30
"		108",서울,2015-10-01,77.5,48
"		108",서울,2015-10-02,53.5,31
"		108",서울,2015-10-03,49.4,23
"		108",서울,2015-10-04,38.9,23
"		108",서울,2015-10-05,49.4,22
"		108",서울,2015-10-06,57.5,24
"		108",서울,2015-10-07,67.5,42
"		108",서울,2015-10-08,61.1,24
"		108",서울,2015-10-09,43.8,17
"		108",서울,2015-10-10,70.9,46
"		108",서울,2015-10-11,72.6,50
"		108",서울,2015-10-12,56.5,35
"		108",서울,2015-10-13,66.4,30
"		108",서울,2015-10-14,64.6,26
"		108",서울,2015-10-15,62.1,26
"		108",서울,2015-10-16,71,39
"		108",서울,2015-10-17,64.8,24
"		108",서울,2015-10-18,65.1,32
"		108",서울,2015-10-19,67.4,34
"		108",서울,2015-10-20,69.5,41
"		108",서울,2015-10-21,72.5,49
"		108",서울,2015-10-22,64.8,47
"		108",서울,2015-10-23,69.1,47
"		108",서울,2015-10-24,64.4,32
"		108",서울,2015-10-25,51,32
"		108",서울,2015-10-26,66.8,47
"		108",서울,2015-10-27,69.3,38
"		108",서울,2015-10-28,49,31
"		108",서울,2015-10-29,50.4,24
"		108",서울,2015-10-30,41.8,26
"		108",서울,2015-10-31,42.5,23
"		108",서울,2015-11-01,48.4,23
"		108",서울,2015-11-02,60.5,31
"		108",서울,2015-11-03,67.6,35
"		108",서울,2015-11-04,62,34
"		108",서울,2015-11-05,63.9,40
"		108",서울,2015-11-06,63.9,45
"		108",서울,2015-11-07,91.5,86
"		108",서울,2015-11-08,90.6,81
"		108",서울,2015-11-09,87.6,75
"		108",서울,2015-11-10,80,55
"		108",서울,2015-11-11,72.4,51
"		108",서울,2015-11-12,63.5,42
"		108",서울,2015-11-13,83.8,61
"		108",서울,2015-11-14,97.3,91
"		108",서울,2015-11-15,84.5,61
"		108",서울,2015-11-16,85.1,66
"		108",서울,2015-11-17,69.6,39
"		108",서울,2015-11-18,70.6,58
"		108",서울,2015-11-19,72.8,65
"		108",서울,2015-11-20,72.6,52
"		108",서울,2015-11-21,55.9,35
"		108",서울,2015-11-22,66.5,42
"		108",서울,2015-11-23,80.9,67
"		108",서울,2015-11-24,69.5,55
"		108",서울,2015-11-25,86.8,73
"		108",서울,2015-11-26,63.8,50
"		108",서울,2015-11-27,59.1,45
"		108",서울,2015-11-28,70.8,52
"		108",서울,2015-11-29,87.9,76
"		108",서울,2015-11-30,69.1,28
"		108",서울,2015-12-01,57.8,29
"		108",서울,2015-12-02,71.4,51
"		108",서울,2015-12-03,79.3,55
"		108",서울,2015-12-04,63.9,49
"		108",서울,2015-12-05,51.4,25
"		108",서울,2015-12-06,46.4,20
"		108",서울,2015-12-07,51.1,37
"		108",서울,2015-12-08,55.9,34
"		108",서울,2015-12-09,57.4,38
"		108",서울,2015-12-10,74.8,58
"		108",서울,2015-12-11,56.5,33
"		108",서울,2015-12-12,50.1,33
"		108",서울,2015-12-13,50.5,30
"		108",서울,2015-12-14,75.6,55
"		108",서울,2015-12-15,69.8,49
"		108",서울,2015-12-16,50.9,35
"		108",서울,2015-12-17,43.4,27
"		108",서울,2015-12-18,61.9,48
"		108",서울,2015-12-19,66.3,37
"		108",서울,2015-12-20,56.9,39
"		108",서울,2015-12-21,76,49
"		108",서울,2015-12-22,67.9,42
"		108",서울,2015-12-23,59.6,30
"		108",서울,2015-12-24,67.5,47
"		108",서울,2015-12-25,46.3,19
"		108",서울,2015-12-26,73.3,58
"		108",서울,2015-12-27,39,21
"		108",서울,2015-12-28,38.4,21
"		108",서울,2015-12-29,47.6,31
"		108",서울,2015-12-30,67.6,42
"		108",서울,2015-12-31,81.3,59
"		108",서울,2016-01-01,73,56
"		108",서울,2016-01-02,76.9,62
"		108",서울,2016-01-03,80.6,61
"		108",서울,2016-01-04,54.4,28
"		108",서울,2016-01-05,39.4,22
"		108",서울,2016-01-06,54.3,42
"		108",서울,2016-01-07,51.8,25
"		108",서울,2016-01-08,49.8,24
"		108",서울,2016-01-09,57.1,32
"		108",서울,2016-01-10,42.3,20
"		108",서울,2016-01-11,38.3,22
"		108",서울,2016-01-12,46,23
"		108",서울,2016-01-13,63,31
"		108",서울,2016-01-14,52.1,24
"		108",서울,2016-01-15,52.3,28
"		108",서울,2016-01-16,68,53
"		108",서울,2016-01-17,64,47
"		108",서울,2016-01-18,59.8,31
"		108",서울,2016-01-19,45.9,29
"		108",서울,2016-01-20,43.6,30
"		108",서울,2016-01-21,44.3,28
"		108",서울,2016-01-22,40.5,25
"		108",서울,2016-01-23,42,27
"		108",서울,2016-01-24,48.5,31
"		108",서울,2016-01-25,47.1,26
"		108",서울,2016-01-26,64.5,45
"		108",서울,2016-01-27,56.3,34
"		108",서울,2016-01-28,51.5,29
"		108",서울,2016-01-29,43.6,27
"		108",서울,2016-01-30,59.5,46
"		108",서울,2016-01-31,34,17
"		108",서울,2016-02-01,36,20
"		108",서울,2016-02-02,41.8,23
"		108",서울,2016-02-03,49.6,29
"		108",서울,2016-02-04,50.1,18
"		108",서울,2016-02-05,39.4,17
"		108",서울,2016-02-06,38.6,25
"		108",서울,2016-02-07,46.5,20
"		108",서울,2016-02-08,62.1,45
"		108",서울,2016-02-09,52.5,26
"		108",서울,2016-02-10,38.5,17
"		108",서울,2016-02-11,29.3,19
"		108",서울,2016-02-12,95.3,57
"		108",서울,2016-02-13,95,80
"		108",서울,2016-02-14,73.1,54
"		108",서울,2016-02-15,48.4,29
"		108",서울,2016-02-16,65.6,52
"		108",서울,2016-02-17,53.9,30
"		108",서울,2016-02-18,66.4,51
"		108",서울,2016-02-19,56.4,28
"		108",서울,2016-02-20,37.1,23
"		108",서울,2016-02-21,36.4,23
"		108",서울,2016-02-22,36.6,21
"		108",서울,2016-02-23,56,25
"		108",서울,2016-02-24,42,23
"		108",서울,2016-02-25,49.9,30
"		108",서울,2016-02-26,41.3,16
"		108",서울,2016-02-27,57.6,26
"		108",서울,2016-02-28,65.5,31
"		108",서울,2016-02-29,48.6,33
"		108",서울,2016-03-01,47.3,27
"		108",서울,2016-03-02,67.9,48
"		108",서울,2016-03-03,65.1,43
"		108",서울,2016-03-04,55.3,37
"		108",서울,2016-03-05,91.3,73
"		108",서울,2016-03-06,51,16
"		108",서울,2016-03-07,36.9,28
"		108",서울,2016-03-08,40.4,19
"		108",서울,2016-03-09,37.5,18
"		108",서울,2016-03-10,37.8,20
"		108",서울,2016-03-11,43.8,21
"		108",서울,2016-03-12,55.6,43
"		108",서울,2016-03-13,68.1,54
"		108",서울,2016-03-14,57,31
"		108",서울,2016-03-15,43.4,16
"		108",서울,2016-03-16,45.1,19
"		108",서울,2016-03-17,40.9,18
"		108",서울,2016-03-18,50,32
"		108",서울,2016-03-19,58.3,33
"		108",서울,2016-03-20,54,29
"		108",서울,2016-03-21,54.1,30
"		108",서울,2016-03-22,58.1,20
"		108",서울,2016-03-23,49.6,22
"		108",서울,2016-03-24,36.5,20
"		108",서울,2016-03-25,43.9,25
"		108",서울,2016-03-26,54.5,25
"		108",서울,2016-03-27,55.6,20
"		108",서울,2016-03-28,47.8,18
"		108",서울,2016-03-29,57.8,34
"		108",서울,2016-03-30,49.9,21
"		108",서울,2016-03-31,27,15
"		108",서울,2016-04-01,26,15
"		108",서울,2016-04-02,40.8,22
